Vanguard Total Bond Market ETF,BND,1,
iShares iBoxx $ Invst Grade Crp Bond,LQD,1,
iShares International Treasury Bond,IGOV,1,
Vanguard REIT ETF,VNQ,1,
Vanguard Global ex-US Real Estate ETF,VNQI,1,
PowerShares DB Commodity Tracking ETF,DBC,1,
iShares S&P GSCI Commodity-Indexed Trust,GSG,1,
SPDR Gold Shares,GLD,1,
iShares Gold Trust,IAU,1,
iShares 1-3 Year Treasury Bond,SHY,1,
Guggenheim S&P 500 Equal Weight ETF,RSP,1,
Vanguard 500 ETF,VOO,1,
Vanguard Total Stock Market ETF,VTI,1,
Vanguard FTSE All-World ex-US ETF,VEU,1,
Vanguard FTSE Emerging Markets ETF,VWO,1,
